id,energy,ra,dec,reconstruction,gamma_d0,damping_d0
52,138347.9,4.2939615,-0.91579896,Shower,8.78364567933958e-05,0.9999121674007152
54,45508.66,2.8456986,0.36399838,Shower,2.493436590358487e-05,0.9999750659449551
56,103131.61,4.7753353,-0.8189167,Shower,5.690810874977675e-05,0.9999430935104859
57,130239.625,1.9485625,-1.0136929,Shower,0.00014206062079032342,0.9998579494693418
58,45785.402,1.7329972,-0.528983,Track,1.3065426434346118e-05,0.999986934658918
59,115706.945,1.1126932,0.33846277,Shower,0.00011710765073301191,0.9998828992061003
60,89675.95,1.1458166,-0.6041643,Shower,6.83993934372914e-05,0.9999316029457479
64,66139.38,2.0484765,-0.5780187,Shower,0.0006014645859985445,0.9993987162575667
65,36936.973,4.566897,-0.31762764,Shower,1.4786313950097614e-05,0.9999852137953669
66,83366.85,3.3485122,1.3235577,Shower,3.562300651201314e-05,0.9999643776279797
67,155958.45,5.999406,0.09598294,Shower,0.00011037747998114054,0.9998896286113887
68,61357.676,4.952305,-0.4286628,Shower,1.7909488493955665e-05,0.9999820906718799
70,91619.81,1.6989866,-0.46589258,Shower,3.424677527833675e-05,0.9999657538111357
71,70205.95,1.4111851,-0.36213863,Track,3.186191080384406e-05,0.9999681385967815
72,34811.117,4.734983,0.5869983,Shower,1.3758996021224768e-05,0.9999862410986333
74,36494.023,6.0503416,-0.00066549866,Track,1.0266818615934875e-05,0.9999897332340877
75,153763.84,5.023464,1.181696,Shower,4.434500487520863e-05,0.99995565597835
76,117867.22,4.190398,0.0013332728,Track,5.507092494153829e-05,0.999944930591434
77,37655.09,0.47040176,-0.0012176201,Track,0.0001132575214281051,0.9998867488919628
78,52165.926,6.268503,0.12919393,Track,1.7741415936172167e-05,0.9999822587414419
79,153956.95,0.11913122,-0.08193196,Shower,6.0073699143764684e-05,0.9999399281052448
80,73313.586,2.9622705,0.12234207,Shower,3.2001701390717134e-05,0.9999679988106582
81,98539.805,1.8497845,0.10216218,Track,8.516987256970534e-05,0.9999148337542809
82,120964.31,4.1997623,0.16491486,Track,6.0034795174793885e-05,0.9999399670068775
83,48104.13,1.7884458,-0.4972277,Shower,4.287725379581988e-05,0.9999571236654204
84,671565.5,3.000965,-0.3351562,Shower,0.00034859921936224414,0.9996514615342859
85,51954.547,2.099305,-0.032123234,Shower,5.079725285531444e-05,0.9999492040373033
