galaxy,n_points,quality_flag,radius_min,radius_max,rmse_baryon_only,rmse_shape_only,rmse_one_global_scale,delta_shape_vs_baryon,delta_global_vs_baryon,inner_rmse,outer_rmse,gas_fraction_proxy,disk_fraction_proxy,bulge_present,surface_brightness_proxy,failure_class
UGC05414,6,,0.68,4.11,12.492346698655776,29.10701201535401,12.37495092579481,16.614665316698233,-0.11739577286096647,29.592801680708405,28.612975825841445,0.2445128831607569,0.7554871168392432,False,23.925,DISK_DOMINATED
UGC05716,12,,1.03,12.37,34.860659179032254,38.263870689512395,34.604128375743954,3.4032115104801406,-0.2565308032882996,38.92127410770985,37.594973362405334,0.5244880644731882,0.47551193552681187,False,4.053333333333334,GLOBAL_SHAPE
UGC05721,23,,0.09,6.74,36.993423389983725,39.78125212404781,36.16857802394794,2.7878287340640853,-0.8248453660357882,41.987125197614496,37.645826425216825,0.239184839153287,0.760815160846713,False,62.15521739130435,DISK_DOMINATED
UGC05750,11,,0.31,22.85,20.787271481906608,29.523509140505908,20.62839639704885,8.7362376585993,-0.15887508485775825,31.80938705795559,27.473708603713998,0.2660103986533722,0.7339896013466278,False,11.105454545454545,DISK_DOMINATED
UGC05764,10,,0.36,3.62,27.9551391121523,21.180651465907268,27.890522986626134,-6.774487646245031,-0.06461612552616458,21.96868011479842,20.362148389945,0.6851015272267439,0.314898472773256,False,3.903000000000001,GAS_DOMINATED
UGC05829,11,,0.63,6.91,20.89128746050334,17.05206509671253,20.793366477536217,-3.8392223637908103,-0.09792098296712126,19.444813648731888,14.764813327176364,0.5552137668320332,0.444786233167967,False,5.7263636363636365,INNER_SLOPE
UGC05918,8,,0.56,4.46,18.378285164393436,17.329570602347506,18.31589367052648,-1.0487145620459302,-0.062391493866954306,17.795889558005726,16.850351609469655,0.3231811905764185,0.6768188094235815,False,5.08125,GLOBAL_SHAPE
UGC05986,15,,0.63,9.41,38.97404649965343,60.534205122693514,38.60246801668145,21.56015862304008,-0.3715784829719837,68.57825367612759,52.494061219667806,0.10257015901306671,0.8974298409869333,False,41.6,DISK_DOMINATED
UGC05999,5,,3.48,16.22,37.193191266338594,53.5616246713598,36.92142311550057,16.368433405021207,-0.27176815083802097,64.22184208014428,45.07530065288568,0.4220153608947985,0.5779846391052015,False,5.446000000000001,INNER_SLOPE
UGC06399,9,,0.87,7.85,28.750319030139067,44.186819819118995,28.584455355064886,15.436500788979927,-0.16586367507418132,49.037994949392164,39.8832687148863,0.16669585351731983,0.8333041464826801,False,19.09888888888889,DISK_DOMINATED
UGC06446,17,,0.58,10.22,37.554663229842475,43.50644327077051,37.27397202313981,5.9517800409280355,-0.280691206702663,46.49618149184655,40.664782957267775,0.423543222992319,0.5764567770076809,False,9.947058823529412,GLOBAL_SHAPE
UGC06614,13,,3.23,64.59,50.98495587013215,73.81772643010588,44.51876448548516,22.83277055997373,-6.46619138464699,58.086790336946656,85.01536524076018,0.030022078518377664,0.3104090570586066,True,28.78538461538462,OUTER_TAIL
UGC06628,7,,1.1,7.69,8.072900058646603,21.155391109875683,8.224777352921613,13.08249105122908,0.1518772942750104,23.199184851277714,19.482347636972484,0.16575746021348317,0.8342425397865167,False,22.937142857142863,DISK_DOMINATED
UGC06667,9,,0.87,7.85,45.27733630984675,19.724201112260086,45.18556358858987,-25.553135197586666,-0.09177272125688063,19.36485569173768,20.0070309731586,0.5029297642901812,0.49707023570981884,False,5.656666666666666,GLOBAL_SHAPE
UGC06786,45,,0.16,34.05,51.9524574240025,76.85435228994656,33.64494658282325,24.901894865944058,-18.30751084117925,63.19266488765905,87.95842206073647,0.011727162802801519,0.5411815911531935,True,175.62244444444445,OUTER_TAIL
UGC06787,71,,0.12,37.19,64.96642478114666,78.85027938054735,45.51897213763225,13.883854599400692,-19.44745264351441,56.848374361217964,95.49901210698391,0.006234350653874592,0.23005316651707652,True,170.42704225352114,OUTER_TAIL
UGC06818,8,,0.87,6.98,20.175495852306163,41.52318375552707,20.032368898211793,21.34768790322091,-0.14312695409437026,43.13551223988627,39.84566679318037,0.11552717023115007,0.8844728297688499,False,19.27,DISK_DOMINATED
