galaxy_id,distance_mpc,radius_kpc,v_obs,v_obs_err,v_gas,v_disk,v_bulge,v_baryon_ml1,target_archive_accel,d0_shape_response
F571-8,53.3,5.44,112.0,6.7,8.94,86.43,0.0,86.89113015722607,918.0021139705877,5569.909054641614
F571-8,53.3,6.11,116.0,4.0,9.45,81.42,0.0,81.96657184486857,1102.697397708674,5194.824243768564
F571-8,53.3,7.22,124.0,4.0,10.47,76.23,0.0,76.94565484808093,1309.6075069252076,4628.177952454029
F571-8,53.3,9.33,135.0,4.0,11.28,68.45,0.0,69.3732001568329,1437.5518863879959,3715.8598123548873
F571-8,53.3,11.1,140.0,4.0,11.8,64.24,0.0,65.31475790355499,1381.439855855856,3090.8160964267604
F571-8,53.3,15.55,144.0,5.0,11.28,55.43,0.0,56.566096736472815,1127.7348360128615,1945.2616633830262
F571-V1,80.1,1.95,32.0,10.0,7.85,23.82,0.0,25.080169457162764,202.55646153846155,322.5717435897436
F571-V1,80.1,3.88,57.6,10.0,15.1,35.57,0.0,38.64239769993575,470.2384278350517,318.63129297516633
F571-V1,80.1,5.83,70.9,7.0,20.84,33.21,0.0,39.20726590824716,598.5592281303603,252.61494693979915
F571-V1,80.1,7.78,77.0,6.0,25.68,32.58,0.0,41.48395834536526,540.8844730077121,200.27634706416342
F571-V1,80.1,9.72,82.5,6.0,29.5,31.97,0.0,43.500929875118764,505.54723251028804,158.97079754126753
F571-V1,80.1,11.66,84.3,6.0,30.81,29.08,0.0,42.36628966525154,455.5392367066895,126.18421916198753
F571-V1,80.1,13.59,83.9,6.0,28.8,26.58,0.0,39.191024482654186,404.95022810890373,100.27895739391482
F574-1,96.8,0.47,15.3,4.4,0.25,12.99,0.0,12.992405473968244,138.90936170212777,359.1544680851064
F574-1,96.8,1.41,41.0,4.36,0.88,32.88,0.0,32.891774047624736,424.91574468085093,726.4435720248844
F574-1,96.8,2.35,60.7,4.4,1.88,41.13,0.0,41.172943785937875,846.5015744680851,643.8400571696036
F574-1,96.8,3.29,74.9,4.4,3.41,42.43,0.0,42.566806316659466,1154.4306990881462,570.6293443559559
F574-1,96.8,4.22,83.0,6.28,5.43,44.37,0.0,44.701026833843535,1158.9616587677724,506.39325256990605
F574-1,96.8,5.17,86.8,4.4,7.8,46.69,0.0,47.33704785894448,1023.8769632495165,448.23557008355516
F574-1,96.8,6.11,89.4,4.4,10.44,48.85,0.0,49.95313904050475,899.6798527004911,397.266940174894
F574-1,96.8,7.05,92.5,4.4,13.15,49.34,0.0,51.06229626642343,843.8144539007092,352.0939262506622
F574-1,96.8,7.99,94.7,4.4,16.07,50.15,0.0,52.661821085108706,775.3219774718399,312.0575118786119
F574-1,96.8,8.92,96.3,4.4,18.98,49.17,0.0,52.706065115885856,728.224293721973,276.92900828196423
F574-1,96.8,9.87,97.8,4.4,21.99,49.76,0.0,54.40236851461524,669.2221175278623,245.12457713445568
F574-1,96.8,10.79,98.8,4.62,25.0,50.33,0.0,56.197054193258204,611.9862001853568,217.81027706065964
F574-1,96.8,11.8,99.5,4.4,27.82,50.68,0.0,57.813621232370494,555.7487457627118,191.31568127744197
F574-1,96.8,12.6,99.7,5.14,30.02,50.19,0.0,58.48278806623364,517.4486904761906,172.63724244463734
F574-2,89.1,2.17,12.6,10.0,-8.64,21.61,0.0,23.27319703006014,0.0,249.604470046083
F574-2,89.1,4.32,23.0,10.0,-7.74,27.24,0.0,28.318283846306787,0.0,181.0297160175598
F574-2,89.1,6.49,30.0,8.0,15.6,34.0,0.0,37.4080205303622,0.0,160.89006574066474
F574-2,89.1,8.65,36.0,8.0,23.65,34.44,0.0,41.77841667655681,0.0,116.51394090200813
F574-2,89.1,10.83,40.0,8.0,28.17,36.32,0.0,45.96402179966414,0.0,84.12573215774594
F579-V1,89.5,0.42,35.7,9.1,-1.7,15.39,0.0,15.483607460795433,2463.685476190477,570.8145238095238
F579-V1,89.5,1.47,83.3,9.3,-4.3,40.7,0.0,40.92651951974417,3580.8911564625846,1078.9269100462332
F579-V1,89.5,2.11,94.2,10.4,-3.8,48.7,0.0,48.84802964296513,3074.649289099527,1007.6888504562514
F579-V1,89.5,2.84,97.6,9.1,-0.8,53.6,0.0,53.605969816803054,2342.309859154929,932.157204405726
F579-V1,89.5,3.9,101.0,9.1,5.9,57.61,0.0,57.91132963419162,1755.712282051282,832.4450153729474
F579-V1,89.5,4.74,105.0,16.7,10.47,63.1,0.0,63.96273055459718,1462.8204852320675,764.2611850077997
F579-V1,89.5,5.69,106.0,9.1,13.24,67.96,0.0,69.23770071283418,1132.186432337434,690.5688273642733
F579-V1,89.5,6.32,108.0,11.5,14.88,69.85,0.0,71.41734313176316,1038.5384651898735,645.661547825628
F579-V1,89.5,7.37,110.0,23.0,17.96,72.36,0.0,74.55555780758401,887.5805698778831,577.2113258792157
F579-V1,89.5,8.21,112.0,19.7,20.83,72.55,0.0,75.48106650014955,833.9352740560294,527.7142006401333
F579-V1,89.5,9.16,113.0,9.1,23.19,73.73,0.0,77.29093737301936,741.8243449781659,476.8304133040755
F579-V1,89.5,10.85,114.0,9.1,26.37,73.37,0.0,77.96495238246479,637.5544884792625,398.1331108038264
F579-V1,89.5,12.21,114.0,9.1,28.32,69.96,0.0,75.47465799856266,597.8358722358722,344.3411750192899
F579-V1,89.5,15.16,114.0,11.2,33.04,63.57,0.0,71.64346795067922,518.6816292875989,251.33282451390474
F583-1,35.4,0.26,14.6,13.0,-0.5,5.06,0.0,5.084643546995206,720.4092307692307,99.43692307692305
F583-1,35.4,0.44,10.0,7.0,-0.86,8.17,0.0,8.215138465053403,73.88977272727276,151.61771525347598
F583-1,35.4,0.77,10.7,7.13,-1.55,13.14,0.0,13.23110350651071,0.0,220.69012642599418
F583-1,35.4,0.89,17.4,9.6,-1.78,14.55,0.0,14.658475364102502,98.75179775280894,232.14509206717642
F583-1,35.4,1.22,23.5,11.2,-2.43,17.29,0.0,17.45992554394205,202.78770491803274,233.09389590772986
F583-1,35.4,1.55,31.0,5.2,-2.98,18.37,0.0,18.61013970930901,396.55658064516126,225.56379665626412
F583-1,35.4,1.8,32.3,2.41,-3.18,18.25,0.0,18.524980431838518,388.95283333333316,220.02155296567588
F583-1,35.4,2.21,40.9,5.9,-3.53,19.06,0.0,19.384130106868348,586.9074660633485,211.22551930216326
F583-1,35.4,2.31,43.8,4.26,-3.66,19.39,0.0,19.732402286594503,661.9360606060606,209.1340357992765
F583-1,35.4,2.54,44.8,4.5,-4.08,20.16,0.0,20.568714106623194,623.6094488188976,204.40187804552005
F583-1,35.4,3.1,51.7,12.7,-5.16,22.16,0.0,22.752828395608315,695.2254193548388,193.75638821585827
F583-1,35.4,3.43,55.7,4.5,-4.94,23.71,0.0,24.21915977072698,733.5050437317784,191.5109172730401
F583-1,35.4,3.86,59.4,9.85,-3.07,24.94,0.0,25.128241084485005,750.5003886010362,183.48913932964285
F583-1,35.4,4.09,62.0,4.5,1.31,25.34,0.0,25.37383888969109,782.4372371638143,179.33725869438246
F583-1,35.4,4.37,63.0,3.2,4.42,25.74,0.0,26.11673792800318,752.1546910755148,174.40938724457783
F583-1,35.4,4.76,66.6,6.9,7.13,26.09,0.0,27.046718839814933,778.158613445378,167.7704041379802
F583-1,35.4,5.4,71.3,2.95,11.25,26.17,0.0,28.48563497624724,791.1589999999998,157.41882805724043
