event_name,catalog,m1_source,m2_source,chi_eff,final_mass_source,eta,loss_frac_obs,loss_frac_d0,loss_frac_spin_only,residual,domain
GW231104_133418,GWTC-4.1,12.2,8.6,0.14,20.0,0.24251109467455625,0.03846153846153833,0.04725672869721076,0.049615872648487325,0.008795190235672427,clean_BBH
GW231102_071736,GWTC-4.1,61.0,42.0,0.06,98.0,0.24149307192006786,0.04854368932038835,0.04479438030627747,0.047456505820196115,-0.0037493090141108784,clean_BBH
GW231029_111508,GWTC-4.1,65.0,42.0,0.14,101.0,0.23844877281858678,0.056074766355140186,0.04519102268435804,0.04876344090812168,-0.010883743670782146,clean_BBH
GW231028_153006,GWTC-4.1,94.0,59.0,0.45,144.0,0.23691742492203854,0.058823529411764705,0.05686703218030942,0.06093800294116192,-0.001956497231455287,clean_BBH
GW231026_130704,GWTC-4.1,34.0,20.8,0.03,53.0,0.235494698705312,0.032846715328467106,0.04126105901616961,0.045675246859984475,0.008414343687702504,clean_BBH
GW231020_142947,GWTC-4.1,12.0,7.4,0.14,18.8,0.23594430864066326,0.030927835051546285,0.04394097997151469,0.04823828820335119,0.013013144919968408,clean_BBH
GW231018_233037,GWTC-4.1,11.6,7.3,0.01,18.2,0.2370594328266286,0.037037037037037,0.041677394019725034,0.04564236974921887,0.004640356982688033,clean_BBH
GW231014_040532,GWTC-4.1,20.6,14.7,0.18,33.8,0.2430161545313742,0.042492917847025496,0.04869974152402756,0.05090753658832592,0.006206823677002066,clean_BBH
GW231008_142521,GWTC-4.1,45.0,25.6,-0.01,69.0,0.23112295259571947,0.02266288951841352,0.03854494586050361,0.044170468980514244,0.01588205634209009,clean_BBH
GW231005_091549,GWTC-4.1,28.8,21.2,-0.03,48.0,0.24422399999999997,0.04,0.04462266026234807,0.046449491217166794,0.0046226602623480675,clean_BBH
GW231005_021030,GWTC-4.1,84.0,50.0,0.1,127.0,0.23390510135887727,0.05223880597014925,0.04193482078981492,0.04680427531789744,-0.010303985180334332,clean_BBH
GW231004_232346,GWTC-4.1,64.0,35.0,-0.04,96.0,0.22854810733598613,0.030303030303030304,0.03696538479488154,0.043278876598947136,0.006662354491851236,clean_BBH
GW231001_140220,GWTC-4.1,76.0,41.0,-0.04,111.0,0.22762802249981737,0.05128205128205128,0.03654499056006155,0.043100721045800094,-0.014737060721989728,clean_BBH
GW230930_110730,GWTC-4.1,34.5,24.4,0.02,56.3,0.24264890277613635,0.044142614601018704,0.04460619474859118,0.046916747594958674,0.00046358014757247323,clean_BBH
GW230928_215827,GWTC-4.1,54.0,29.0,0.4,79.0,0.22731891421106112,0.04819277108433735,0.04920468923625354,0.05593125989909553,0.0010119181519161885,clean_BBH
GW230927_153832,GWTC-4.1,21.7,16.6,0.03,36.5,0.24556715227454004,0.04699738903394249,0.046265842240833965,0.047677695876897186,-0.0007315467931085229,clean_BBH
GW230927_043729,GWTC-4.1,35.0,27.1,0.01,59.0,0.2459541386937592,0.04991948470209342,0.046107149482546905,0.04739748223869189,-0.003812335219546513,clean_BBH
GW230924_124453,GWTC-4.1,28.8,23.2,0.02,49.4,0.24710059171597631,0.05000000000000003,0.04686951020940844,0.04779908638898234,-0.0031304897905915924,clean_BBH
GW230922_040658,GWTC-4.1,76.0,51.0,0.31,119.0,0.24031248062496124,0.06299212598425197,0.05204013139135355,0.05508058473465438,-0.010951994592898417,clean_BBH
